Value
19.6
20.9
17.1
18
19.5
18.8
18.7
17.5
20.8
23.5
18.5
20.8
15.9
20
20.5
20.4
18.1
19.8
21.6
22.4
17.7
21
16.5
20.2
17.4
23.5
19.8
18.3
20.4
21.8
18
20.3
19.9
18.6
20
17.2
21
22.4
19.3
20.3
17.3
21.5
18.9
21.6
19.7
19.8
16.4
20.6
19.2
21.2
18.4
18.6
